op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name
EXPAND_DIMS,1291,2560.0,0.0,0.0,0.0,0.0,285.25882,-128,ExpandDims1
BATCH_MATMUL,1295,655360.0,0.0,0.0,0.0,0.0,288.81775,-125,MatMul1
EXPAND_DIMS,1299,2560.0,0.0,0.0,0.0,0.0,285.25882,-128,ExpandDims_11
MUL,1303,655360.0,0.0,0.0,0.0,0.0,577.6355,-125,mul1
SUB,1307,655360.0,0.0,0.0,0.0,0.0,570.51764,0,sub1
ADD,1311,655360.0,0.0,0.0,0.0,0.0,299.4352,-128,add3
MAXIMUM,1315,655360.0,2.2737368e-13,-1.0000002e-06,1.0000001e-06,9.999993e-13,299.4352,-128,Maximum1
EXPAND_DIMS,1321,655360.0,0.0,0.0,0.0,0.0,1.0836308,-128,pf_net_dense/cg_id_1/message_building_layer_lsh_1/cg_id_1_kernel/ExpandDims
BROADCAST_TO,1327,655360.0,0.0,0.0,0.0,0.0,1.0836308,-128,pf_net_dense/cg_id_1/message_building_layer_lsh_1/cg_id_1_kernel/mul_12
BROADCAST_TO,1331,655360.0,0.0,7.450581e-09,7.450581e-09,5.551115e-17,0.00039215686,127,pf_net_dense/cg_id_1/message_building_layer_lsh_1/cg_id_1_kernel/mul_13
MUL,1335,655360.0,0.0,0.0,0.0,0.0,0.108363084,127,pf_net_dense/cg_id_1/message_building_layer_lsh_1/cg_id_1_kernel/mul_14
EXP,1339,655360.0,0.0,-0.000100016594,0.000100016594,1.000331e-08,0.0039211763,-128,pf_net_dense/cg_id_1/message_building_layer_lsh_1/cg_id_1_kernel/Exp
MINIMUM,1343,655360.0,0.0,0.0,0.0,0.0,0.0039211763,-128,pf_net_dense/cg_id_1/message_building_layer_lsh_1/cg_id_1_kernel/clip_by_value/Minimum
RELU,1347,655360.0,0.0,0.0,0.0,0.0,0.0039211763,-128,pf_net_dense/cg_id_1/message_building_layer_lsh_1/cg_id_1_kernel/clip_by_value
RESHAPE,1354,2560.0,0.0,0.0,0.0,0.0,0.003921569,-128,pf_net_dense/cg_id_1/message_building_layer_lsh_1/Reshape
BROADCAST_TO,1361,655360.0,0.0,0.0,0.0,0.0,0.0039211763,-128,pf_net_dense/cg_id_1/message_building_layer_lsh_1/Mul3
BROADCAST_TO,1365,655360.0,0.0,0.0,0.0,0.0,0.003921569,-128,pf_net_dense/cg_id_1/message_building_layer_lsh_1/Mul4
MUL,1369,655360.0,0.0,0.0,0.0,0.0,0.0039211763,-128,pf_net_dense/cg_id_1/message_building_layer_lsh_1/Mul5
RESHAPE,1374,2560.0,0.0,0.0,0.0,0.0,0.003921569,-128,pf_net_dense/cg_id_1/message_building_layer_lsh_1/Reshape_1
BROADCAST_TO,1381,655360.0,0.0,0.0,0.0,0.0,0.0039211763,-128,pf_net_dense/cg_id_1/message_building_layer_lsh_1/Mul_13
BROADCAST_TO,1385,655360.0,0.0,0.0,0.0,0.0,0.003921569,-128,pf_net_dense/cg_id_1/message_building_layer_lsh_1/Mul_14
MUL,1389,655360.0,0.0,0.0,0.0,0.0,0.0039211763,-128,pf_net_dense/cg_id_1/message_building_layer_lsh_1/Mul_15
RESHAPE,1393,655360.0,0.0,0.0,0.0,0.0,0.0039211763,-128,pf_net_dense/cg_id_1/cg_id_1_msg_0/Squeeze
GATHER,1397,655360.0,0.0,0.0,0.0,0.0,0.041319847,-89,pf_net_dense/cg_id_1/message_building_layer_lsh_1/GatherV2_1;pf_net_dense/Const_1
FULLY_CONNECTED,1401,655360.0,0.12060256,-0.006182694,0.24866652,0.01458322,0.38357878,-30,pf_net_dense/cg_id_1/cg_id_1_msg_0/MatMul_3;pf_net_dense/cg_id_1/cg_id_1_msg_0/add
LOGISTIC,1405,655360.0,0.0012546992,-7.4412674e-05,0.003905952,1.5798072e-06,0.00390625,-128,pf_net_dense/cg_id_1/cg_id_1_msg_0/Sigmoid
SUB,1409,655360.0,0.00096118415,0.00029892102,0.001960814,1.0132283e-06,0.003921569,-128,pf_net_dense/cg_id_1/cg_id_1_msg_0/sub
MUL,1413,655360.0,0.0,0.0,0.0,0.0,0.041319847,-89,pf_net_dense/cg_id_1/cg_id_1_msg_0/mul
FULLY_CONNECTED,1417,655360.0,0.0,0.0,0.0,0.0,0.32037687,4,pf_net_dense/cg_id_1/cg_id_1_msg_0/MatMul1
